Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,
2023-01-03,124.04804229736328,89.12000274658203,236.60923767089844,125.06999969482422,89.12000274658203,239.5800018310547,130.89999389648438,91.05000305175781,245.75,124.16999816894531,88.5199966430664,237.39999389648438,130.27999877929688,89.58999633789062,243.0800018310547,112117500,28131200,25740000
2023-01-04,125.32750701904297,88.08000183105469,226.25918579101562,126.36000061035156,88.08000183105469,229.10000610351562,128.66000366210938,90.6500015258789,232.8699951171875,125.08000183105469,87.2699966430664,225.9600067138672,126.88999938964844,90.3499984741211,232.27999877929688,89113600,34854800,50623400
2023-01-05,123.99845123291016,86.19999694824219,219.55335998535156,125.0199966430664,86.19999694824219,222.30999755859375,127.7699966430664,87.56999969482422,227.5500030517578,124.76000213623047,85.9000015258789,221.75999450683594,127.12999725341797,87.47000122070312,227.1999969482422,80962700,27194400,39585600
2023-01-06,128.56085205078125,87.33999633789062,222.14085388183594,129.6199951171875,87.33999633789062,224.92999267578125,130.2899932861328,87.69000244140625,225.75999450683594,124.88999938964844,84.86000061035156,219.35000610351562,126.01000213623047,86.79000091552734,223.0,87754700,41381500,43613600
2023-01-09,129.08651733398438,88.0199966430664,224.30374145507812,130.14999389648438,88.0199966430664,227.1199951171875,133.41000366210938,90.05000305175781,231.24000549316406,129.88999938964844,87.86000061035156,226.41000366210938,130.47000122070312,88.36000061035156,226.4499969482422,70790800,29003900,27369800
2023-01-10,129.6617889404297,88.41999816894531,226.01226806640625,130.72999572753906,88.41999816894531,228.85000610351562,131.25999450683594,88.66999816894531,231.30999755859375,128.1199951171875,85.83000183105469,227.3300018310547,130.25999450683594,85.9800033569336,227.75999450683594,63896200,30467800,27033900
2023-01-11,132.3992462158203,91.5199966430664,232.84646606445312,133.49000549316406,91.5199966430664,235.77000427246094,133.50999450683594,91.5999984741211,235.9499969482422,130.4600067138672,89.01000213623047,231.11000061035156,131.25,89.18000030517578,231.2899932861328,69458900,26862000,28669300
2023-01-12,132.31991577148438,91.12999725341797,235.552490234375,133.41000366210938,91.12999725341797,238.50999450683594,134.25999450683594,91.87000274658203,239.89999389648438,131.44000244140625,89.75,233.55999755859375,133.8800048828125,91.4800033569336,235.25999450683594,71379600,30258100,27269500
